,state,action_space,reward,Q,action
7809,[33 45],u,-0.1,-0.19230000000000003,0
7810,[32 45],r,-10,-9.481171875000001,2
7811,[32 45],u,-0.1,-0.20070937500000002,0
7812,[31 45],d,-0.1,-0.21186406250000003,1
7813,[32 45],d,-0.1,-0.20692812500000005,1
7814,[33 45],d,-0.1,-0.20465000000000005,1
7815,[34 45],d,-0.1,-0.19503125000000004,1
7816,[35 45],r,-0.1,-0.18892812500000003,2
7817,[35 44],r,-0.1,-0.2056034375,2
7818,[35 43],l,-0.1,-0.2193875,3
7819,[35 44],u,-10,-7.578890625,0
7820,[35 44],d,-10,-8.85845,1
7821,[35 44],l,-0.1,-0.21851998437500003,3
7822,[35 45],u,-0.1,-0.22283984375000002,0
7823,[34 45],u,-0.1,-0.22874750000000002,0
7824,[33 45],l,-10,-7.586535,3
7825,[33 45],r,-10,-7.586535,2
7826,[33 45],l,-10,-8.8798025,3
7827,[33 45],u,-0.1,-0.23646921875000004,0
7828,[32 45],l,-10,-8.867066093750001,3
7829,[32 45],u,-0.1,-0.22187656250000004,0
7830,[31 45],r,-10,-8.837834375,2
7831,[31 45],d,-0.1,-0.24904968750000006,1
7832,[32 45],d,-0.1,-0.24555656250000002,1
7833,[33 45],d,-0.1,-0.24008906250000003,1
7834,[34 45],d,-0.1,-0.23253328125000003,1
7835,[35 45],r,-0.1,-0.23698560937500002,2
7836,[35 44],r,-0.1,-0.25152609375,2
7837,[35 43],l,-0.1,-0.25802774296875003,3
7838,[35 44],l,-0.1,-0.259537921875,3
7839,[35 45],u,-0.1,-0.264356296875,0
7840,[34 45],u,-0.1,-0.27078489843750003,0
7841,[33 45],u,-0.1,-0.2680790625,0
7842,[32 45],d,-0.1,-0.28081835937500005,1
7843,[33 45],d,-0.1,-0.27468450781250003,1
7844,[34 45],d,-0.1,-0.27291016484375,1
7845,[35 45],r,-0.1,-0.281679546875,2
7846,[35 44],r,-0.1,-0.27628460937500005,2
7847,[35 43],r,-0.1,-0.2504671875000001,2
7848,[35 42],r,-0.1,-0.24609937500000004,2
7849,[35 41],u,-10,-8.847458750000001,0
7850,[35 41],r,-0.1,-0.23717812500000002,2
7851,[35 40],u,-10,-9.48928453125,0
7852,[35 40],r,-0.1,-0.225126546875,2
7853,[35 39],l,-0.1,-0.24849616484375,3
7854,[35 40],r,-0.1,-0.25391538281250003,2
7855,[35 39],d,-0.1,-0.2460039609375,1
7856,[36 39],u,-0.1,-0.265703579296875,0
7857,[35 39],d,-0.1,-0.26813198046875003,1
